
01.01;Новый год. Международный день похмелья. День памяти былинного Ильи Муромца. День выпускания хлопушек на свободу. 
02.01;Новый мяу-год у кошек. День мягких подушек. День мотивации и вдохновения. День швейцарского сыра. 
03.01;День бенгальских искр и гирляндных огней. День рождения соломинки для коктейлей. День вишни в шоколаде. 
04.01;День пустяков. День спагетти. День страстей по лимонной карамельке. День Ньютона. Всемирный день гипноза. 
05.01;Международный разгрузочный день.  День маленьких историй.  День взбитых сливок. 
06.01;День обнимашек.  День песочного печенья.  Рождественский сочельник.  День яблони. 
07.01;Православное Рождество Христово.  Международный день программистов.  Международный день глупой походки.  День распутывания лыжных следов. 
08.01;День ванны с пеной.  День распространения микробов радости.  День умасливания гремлинов. 
09.01;День игры в прятки с зимой. Международный день хореографа. День путешествия на воздушном шаре.  День игры в Бога. 
10.01;День горького шоколада.  День благодарности комнатным растениям.  День обучения танцам пингвинов.  День своеобразных людей. 
11.01;День «Девочки обнимают мальчиков».  Международный день «Спасибо».  День кофейных грёз.  День тайного приятеля. 
12.01;День поцелуя рыжих.  День похищений.  День посадки внутреннего дерева.  День «Работай усерднее». 
13.01;День осуществления мечты.  Щедрец (Щедрый вечер).  День случайных попутчиков. 
14.01;Старый Новый год.  День поэзии на работе.  День белоснежных птиц.  Праздник осла. 
15.01;День рождения Википедии.  День поиска пропавшего эха.  День музейного селфи.  День бублика. 
16.01;Всемирный день «The Beatles».  День великих сумочных раскопок.  День ничего.  День хорошего подростка. 
17.01;День творчества и вдохновения.  День нарушения обещаний.  День задабривания телефонного божества.  День горячего рома с маслом. 
18.01;День Винни Пуха.  День праздничного ожидания.  День зажигания маяка. 
19.01;Всемирный день снега.  День варки зелья.  День апельсиновых сказок.  День художника вне закона. 
20.01;Удивительный день совпадений.  Зимний день согревания мира.  День пингвина.  День любителей сыра. 
21.01;День объятий.  День остроумных фраз.  День тихих шагов и незаметных взглядов.  Международный день тренировочных штанов. 
22.01;День рождения воздушной кукурузы (День попкорна).  Температурный праздник.  День проветривания блокнотных записей.  День ответов на вопросы вашей кошки. 
23.01;День зелёного света.  Праздник слухов.  День несочетаемых цветов в одежде. 
24.01;День рождения баночного пива.  Международный день эскимо.  Всемирный день смеха от живота.  Международный день образования. 
25.01;Татьянин день (День студентов).  Китайский Новый год.  День счастливых снеговиков. 
26.01;Международный день без интернета.  День случайных направлений. 
27.01;День танца со своей тенью.  День воздушно-пузырчатой упаковки.  Киберпонедельник. 
28.01;День колдунов.  День пробуждения внутреннего ребёнка.  День поп-арта.  День планирования отпуска.
29.01;День необязательств.  День неспешного заплетания кос.  День кукурузных чипсов.  День головоломок. 
30.01;День Деда Мороза и Снегурочки.  День бегства от стресса.  День круассана.  День бессмысленных сообщений на автоответчике. 
31.01;День рождения русской водки.  День ювелира.  День рисования солнца на снегу.  День скотча.  День вдохновения сердца искусством.  День адского холода.  День веселья на работе.  День горячего шоколада.  День наоборот. 
01.02;День Робинзона Крузо.  День «Измените свой пароль».  День заглядывания за спину. 
02.02;День Ы.  День ежа.  День самообновления.  День ездовых собак. 
03.02;Всемирный день борьбы с ненормативной лексикой.  Всемирный день свободной любви.  День волшебства варежек на резинке. 
04.02;Праздник хорошего настроения.  День чудесных чудаков.  День неандертальца. 
05.02;Великий день.  День эрудита.  День разукрашивания планов на будущее.  Всемирный день чтения вслух. 
06.02;Праздник мыслей.  День Боба Марли.  День ступенек и лестниц.  Международный день бармена. 
07.02;День рождения огнетушителя.  День полётов на луну (мыслимых и немыслимых).  День числа Эйлера («e» Day).  День российского бизнес-образования. 
08.02;День предложения руки и сердца.  День подбрасывания монетки.  День мирового кино. 
09.02;День апростохорошо.  День рождения стриптиза.  Международный день пиццы.  Всемирный день брака. 
10.02;День домового (Кудесы).  День памяти А. С. Пушкина.  День рождения утюга.  День рассматривания лиц. 
